loss,accuracy,val_loss,val_accuracy
0.32294941088860457,0.8724174499511719,2.37357163043839,0.4456956684589386
0.19148698922132865,0.9301585555076599,0.47984217558552217,0.8076983690261841
0.15563846722299843,0.9444190263748169,0.3578167965963517,0.8539982438087463
0.13423470855846414,0.9524411559104919,0.9776549460907928,0.666562020778656
0.11803595909737502,0.9577652812004089,4.542466886954902,0.41002902388572693
0.10565937611627185,0.9628026485443115,0.5505608888159533,0.8204897046089172
0.09523561002387324,0.9663699865341187,0.1949304366218401,0.9356117248535156
0.08839633999828321,0.9693636894226074,0.19167779866533788,0.9294514656066895
0.08217736615792681,0.9712101221084595,0.3627792767029135,0.8750686645507812
0.07520018146700835,0.9736212491989136,0.3059996858404054,0.889664888381958
0.07045525120911857,0.975118100643158,0.13799398288307332,0.9505218267440796
0.06512128478579175,0.977358877658844,0.15782650813482568,0.9507965445518494
0.060847842779082624,0.9786944389343262,0.7913243150697963,0.7785058617591858
0.05711973164777957,0.9801195859909058,0.3904461626457212,0.8699678182601929
0.05433131366666571,0.9810696840286255,0.16822415276897634,0.9369065165519714
0.050806417669467675,0.9826830625534058,0.5230481880985567,0.8604331612586975
0.047677179803408964,0.983695924282074,0.11778239972970109,0.956171989440918
0.04684796455112588,0.9836511015892029,1.2501916705481553,0.7471945285797119
0.04267823433385757,0.9855512976646423,0.4244435760923058,0.8721650838851929
0.041879600904370345,0.9853451251983643,1.2572740252310035,0.6738994121551514
0.03873685386197951,0.9867702722549438,0.1728301909451445,0.9479321837425232
0.03686603366386962,0.9874873161315918,0.1522280090445885,0.9554657340049744
0.035909804001133194,0.987944483757019,0.18776928438921028,0.9461665153503418
0.034160584124575635,0.9882402420043945,0.1409279409011651,0.9515812397003174
0.033170643000023106,0.9888138771057129,0.2731886106179791,0.9188181757926941
